,text,fake
20,"In the present study, the incidence of post-ERCP pancreatitis was 5.9% 9 of 152 patients, all 9 cases of pancreatitis were mild and there was no mortality; Other types of complications were hemorrhage in 1.3% of 2 cases, and post-ERCP cholangitis in another 2 cases, findings that are in agreement with those reported in other series 3, 11, 13, 14.",1
21,This could support that the acquisition of these skills should be done during academic training.,1
22,"If there was disagreement between the reviewers with an article, a third author reviewed it.",1
23,"When the designation of ""truth"" is applied to a theory, in an internal and restricted way, there is no reason for discomfort or discomfort.",1
24,"In this case, the questionnaire contains 19 questions to be answered by the patient and 20 questions to be answered by the parents.",1
25,"However, due to space limitations, only two typical cases will be presented.",1
26,"It will subsequently be shown that for the common range of values ​​for the degree of anisotropy, the optimal value for β is ≈45° ± 3°, and thus the term sin2β in Equation No. 13b can be set virtually to one, and the value of β can be expressed clearly.",1
27,Tabla 6,1
28,"In addition, most of the previous studies on buildability were heuristic in principle, of a generic and qualitative nature; some were even rudimentary, based on anecdotal perceptions, intuitions, and common sense.",1
29,The international cooperation indicator raises the need to see how much we cooperate and if we are building the region in these cooperation processes -if we consider this cooperation as an opportunity for joint construction in the future-.,1
30,"From the point of view of the management capacity of these farms, approximately 30,000 can be classified as modern and traditional companies, so that close to 250,000 correspond to small producers and smallholders who have serious problems of land, capital and education.",1
31,The difference between minor and major surgery is subjective.,1
32,"According to Marshall and Soucy, the nurse should consider the following non-pharmacological interventions:",1
33,"The fraction of the period T in which the source +E is connected is called the duty cycle d. The presence of the PWM generates a control signal that allows the system to be modeled as one with a variable structure, since it switches from one topology to another each time the control signal changes.",1
34,"Epidemiological studies of variation in geographic and demographic patterns constitute an invaluable tool to explore the possible causes involved in the development of the disease and to identify specific local risk factors that may influence its incidence, evolution and clinical behavior.",1
35,"This definition has been widely questioned, since in most of the countries where there are cases of dengue and dengue hemorrhagic fever, the clinical symptoms and laboratory findings do not agree with those defined by the WHO and, in addition, the patients present variability in infections by the different serotypes.",1
36,These are the counterpart of the current account balances.,1
37,"After papillary balloon dilation, stone extraction was performed with an 8.5 to 15 mm balloon catheter and/or a dormia basket.",1
38,"Similarly, we would like to thank the general manager, José Darío Uribe, and the directors of Banco de la República, for the support provided to hold this seminar.",1
39,"The birth in the United Kingdom of the first girl, Louise Brown, as a result of in vitro fertilization and embryo transfer, originated a true revolution in the treatment of certain cases of sterility and also evidenced the need to refer to the “product” of such infertility. practical in a descriptive but less stigmatizing way than a test tube baby.",1
40,"However, although it has contributed to economic development-becoming the second extractive activity of national relevance after mining-recent studies have shown that the geographical expansion of forest monocultures contribute significantly to generating socio-environmental problems that are beyond sustainable management. that its proponents claim to develop.",1
41,a Supervised classification,1
42,"A probabilistic sampling was carried out in which 12 of the 24 parties of Greater Buenos Aires Argentina Almirante Brown, Avellaneda, Berazategui, FlorencioVarela, Hurlingham, José Clemente Paz, Lanús, Malvinas Argentinas, Moreno, Quilmes, Tigre, Vicente López were selected.",1
43,The infrastructure is the basic level of reception and covers the material and superficial aspects.,1
44,"Browne and Romero state that after analyzing news structures, ""the other"" appears subject to prejudices and stereotypes, which readers receive and reproduce 2010, pp. 247-248.",1
45,"To remedy this situation, the Administrative Planning Department of Cali DAP and the Universidad del Valle carried out a sampling and characterization study in 2006 in which a methodology based on statistical sampling criteria was structured, differentiating itself from other recent studies that base their conclusions on other forms of sampling Klinger et al., 2009.",1
46,"The results with metallic stents in the management of biliary strictures have been generally favorable, with groups that favor them 24-32, while others contraindicate them 33.",1
47,The church is built in masonry.,1
48,"Armayones and Hernández consider that what they consider to be web 3.0 is evolving, as the most effective means, if possible, in the field of health in the search for and dissemination of information on diseases.",1
49,Every patient receiving anesthesiology care MUST have an explicit pre-anesthetic evaluation attached to the history.,1
50,"Of the 29.7 million households reported by the Survey, 2.8 million, equivalent to 9.6% of the total, made purchases abroad INEGI, 2012a.",1
51,"Summarizing the type of uses in the VA, it can be observed, firstly, that those seen in the VR are maintained in certain contexts; secondly, that with these values ​​the combination of ātmán- with other concepts that refer to parts of the being is more frequent; and third, that some expansion can be seen in the possible range of meanings 'being', 'inner being', reflexive and emphatic.",1
52,The outlier anomalous data identified in the two graphs of Figure 10 correspond to the same dates and are within the data group in which the concentrations found on Teflon and quartz filters differ substantially from the concentrations found in Figure 2.,1
53,Self-engraving.,1
54,"It is understood that the theory from its supremacy guides the practice, where the relationship professional subject, possessor of knowledge object patient, receiver is separated from each other, thus perpetuating paternalistic relationships of inequality, separated from the context of action and detached from their values. .",1
55,The technique consists of a portable generator of electrical currents that cross the intact surface of the skin and activate nerve fibers.,1
56,"With the aim of integrating the evidence on the results of the checklist, Ko et al. published a systematic review in 2011 that failed to show significant results, but highlighted the low quality and high risk of bias in several of the 9 studies included.",1
57,"The concept ""authenticity"" refers to the characteristic that, for example, the ""corner bowling alleys"" have, small in scale, very local in character and located in old buildings for a long time.",1
58,This last university centrality explains the incidence of these small departments in the offer of Valparaíso.,1
59,"It is at this stage that they are faced not only with having enough money to rent, but also with the demands of the rental system.",1
60,"The research found that such a relationship does exist, in terms of the selection and presentation of management accounting information, in those companies that are in a state of growth and rejuvenation.",1
61,"On average, each family group is made up of 3.9 people, so the sample considered 4.8% of the total estimated resident population, 1,135 people, including minors.",1
62,"We are probably those and many other things - but are we essentially, necessarily, because we are female, because we are white, because we are pansexual?",1
63,"What is important about this case is that although it took power away from the family of incompetent patients, it imposed the advance care directive on the United States.",1
64,Social research makes use of different methodological tools that allow it to venture into social contexts as diverse as the communities and regions of the country are different.,1
65,"Several citizen movements focus their efforts on housing, food production, energy use and others, creating self-organized structures –bottom-up– of solidarity life.",1
66,"In another study carried out in the same year by SCS Engineers, in the RESA of Querétaro, Mexico, both the Chihuahua model and the typical percentages of the United States were used.",1
67,Displaced population invades Medellin 2.,1
68,"Although small, low-power wind installations are not included in the table, Argentina is a country that has an important history of installed capacity of multi-blade mills, particularly in the agricultural area of ​​the humid pampas.",1
69,"Samples of the following fish food sources were collected from mangroves and seagrasses: mangrove litter, seagrass leaves, epiphytes scraped from seagrass leaves, annelids, gastropods, amphipods, crabs, and shrimp.",1
70,"The low intensity peak, located at a 2θ value of 8.6, corresponds to the ettringite phase.",1
71,"In fact, 37 percent of Bogotá residents were not born in this city; of this figure, 13 percent moved to the capital during the five years prior to the census.",1
72,"First, this paper presents a summary of the findings of a stakeholder survey to determine the current status of practice in Canada.",1
73,"In Panama, the Gorgas Commemorative Institute for Health Studies, through the Directorate of Research and Technological Development, conducts and promotes the national development of scientific research in health, either on its own or through other entities related to this matter.",1
74,"On the contrary, these work spaces should not be occupied if the reason for the disagreement was due to institutional pressure, where ""...the group resigns because they are forced to do unethical things... to do endoscopy with little reprocessing time... because they are reused, out of legal regulations, endoscopy accessories… or because they require an exaggerated productivity load…”.",1
75,"The correct classification of the type of intestinal metaplasia should not generate major problems, however in the daily practice of the pathologist it is a real problem due to the coexistence of different phenotypes in the same sample and the distortion of fine cytological details during the collection or analysis. sample processing.",1
76,"The response rates obtained were 92.8%, 68.6% and 100%, which meant a total of 112 participants.",1
77,This carcinogenic pathway has been hypothesized for intestinal-type cancer.,1
78,Figure 7 presents the exceedance probabilities associated with the probability distribution functions of Figure 6.,1
79,Discussion,1
80,A tracheostomy was performed with a 7.5 Fr cannula.,1
81,The terms used in the search were Sexual* transmit* infection*; Sexual* transmit* disease*; Venereal*; STD*; sexually transmitted infections with the Medline filters “Practice Guideline”[ptyp] OR practiceguideline*[tiab] OR guideline*[ti] OR recommendation*[ti] OR “Practiceguidelines as topic”[MeSH].,1
82,The evidence grading system and the format of the recommendations are similar in the European and American guidelines.,1
83,"On the other hand, for the application of the model, a detailed knowledge of the geometric design of road layouts is required, which is not always available.",1
84,"This inclusion criterion was taken into account based on the Colombian National Policy on Aging and Old Age 2007-2019, for which the population over 50 years of age in a risk condition, such as informal workers, can be considered elderly.",1
85,"Of the total number of patients in the study, 11 55% required pharmacological reversal of neuromuscular blockade.",1
86,"Some medications such as oral hypoglycemic agents, ethanol, catecholamines, β2 bronchodilators, have been shown to cause an increase in arterial lactate without the mechanism of tissue hypoxia being involved.",1
87,"The advantages of monitoring an activity at the micro level are twofold: 1 the results obtained would help to obtain cross-reference patterns, from the analysis of the observation at the macro level, which can then provide a better understanding of the general phenomenon and the findings of the explored factors that affect the activity; and 2 the impacts of other factors, not related to buildability, for example: complexity of communication, sequential problems, layout of the work and proportion of subcontracted work, are minimized at this level of observation on labor productivity.",1
88,"Similarly, other groups in Chile formed experimental communities, including the collective housing experiments involving self-construction coordinated by Chilean architect Fernando Castillo in the 1960s and early 1970s, more structured but similar in terms of collectivization Eliash, 1990.",1
89,"The way in which the participants were recruited, the blinding of the force exerted on the simulator, and the logistical characteristics of the evaluation of each subject may have introduced selection or information bias, respectively.",1
90,"The results obtained by the tested samples for the case of physical-mechanical tests were compared with those established by the Cuban Standard: NC 359-2005, which certifies the quality of standard red ceramic bricks.",1
91,"Until Law 100/93, the generalist had to make therapeutic decisions in outpatient and hospital settings.",1
92,3. Digestive endoscopists and endoscopy nurses are suitable candidates for NAAP training courses.,1
93,"However, there are authors who consider that the Chazouillères criteria do not have proven sensitivity, so they propose that the diagnosis of SS be made in patients who present a classification of probable in the scoring system established by the International Group of HAI with score greater than or equal to 10, associated with AMA positivity and bile duct damage in the histological study 5, 12, 14.",1
94,"A categorization of the diagnoses per case was made, according to the classification of the study ""Prevalence of adverse events in Latin American hospitals"" IBEAS 1, finding 100 cases of surgery in the wrong site and surgical injuries.",1
95,Brazilian cities present a high heterogeneity regarding the predominant social class in the different neighborhoods.,1
96,"The analysis was performed based on a modification of the Taylor and Bogdan proposal, developed in two stages.",1
97,"Briefly, the margin of the lesion was identified with 0.25% indigo carmine, perilesional marking with a conventional scalpel, submucosal infiltration of Glycerol or SSN with adrenaline-indigo carmine 22, 23, precut, circumferential incision separating the tumor from the underlying healthy tissue. and submucosal dissection with IT-Knife2 exposing the muscularis propria layer; en bloc excision and hemostasis figure 2.",1
98,"Information on mortality from lung cancer International Classification of Diseases, ninth revision – ICD-9: 162 between 1990 and 1996 and C33-C34 of the tenth revision – ICD-10: for the years 1997 to 2009 was obtained from the databases available from the Department of Statistics and Health Information DEIS of the Ministry of Health of Chile, period 1990-2009 http://www.deis.cl/?p=51, accessed on 23/Jul/2013.",1
99,"Subsequently, they reported 702 proteins and 1359 interactions with a coverage of 97.7% 10; In addition, it presented a free scale 10-13.",1
100,"In any case, it is an anatomical vision that, without being, as we have already pointed out, a proper political allegory, refers to a conception of society in the same unitary way, although stratified in its condition and structure; a conception well represented in the allegorical dream by the house and by the fortress whose construction recalls the organicist metaphors that ideologues and legislators have always used so profusely to legitimize the established order: from Juan de Salisbury to Santo Tomás, from Alfonso X to Gracián .",1
101,It has the advantage of being a widely accessible and easy-to-execute technique 19.,1
102,"For McCabe 2014, quality control must be carried out throughout the production process, with the monitoring of the activities that are being developed in all stages, with the aim of guaranteeing that all activities are carried out as planned. .",1
103,"That is to say, by accepting the thesis of the morbid nature of the consanguineous union, at the same time also accepting the thesis that the union only favored the appearance of pathologies in the progeny carried by the parents, the conclusion had to be a certain prudential principle that was not compatible with the regulation proposed by the jurists in the Civil Code enacted in 1871:",1
104,"In recent years, the association between H. pylori infection and delayed gastric emptying has been proposed.",1
105,"In one of these, the quality of the studies was found to be low due to problems with masking, subjective measurements and possible Hawthorne effect.",1
106,"However, if 20% of the electricity were supplied by offshore wind using 3.5 MW turbines another 3,200 turbines might be needed to reach the remaining 11% to achieve such a goal.",1
107,"However, it is important that social networks are used as Public Relations tools, promoting user experiences and subsequently sharing them.",1
108,"The aim is to determine which variables are involved in anastomotic and non-anastomotic biliary complications, for which a multivariate Cox regression analysis was performed.",1
109,• N-S-Ar or S saddle angle: determines the inclination or deflection of the skull base Figure 1. • SNA angle: Indicates the anteroposterior position of the maxilla with respect to the skull base. • SNB angle: Indicates the anteroposterior position of the mandible with respect to the base of the skull. • ANB angle: Indicates the anteroposterior discrepancy between the maxilla and the mandible.,1
110,"This value can be considered low when compared to the national study published in 1999, where a prevalence of hopelessness indicative of high suicidal risk was found close to 25% in adolescents in the fourth and fifth year of high school. However, these results continue to being worrying, because if the VI State of the Rights of Children and Adolescents in Costa Rica is taken as a point of reference, in which a total of 41 suicides in adolescents were reported for 2006, it can be seen that the percentage found in the investigation it is only the tip of the iceberg of the great problem that suicide represents in the country.",1
111,"According to the right side of the equation, the capacity of the resource k can be exceeded, with the cost that this entails, and according to the limitations that exist, the extra fraction of the resource k in period t is represented as yk,t .",1
112,"The most common are drowsiness, excessive weakness, vertigo, psychological disturbances, headache, nausea, vomiting, asthenia, depression, diarrhea, and hypotension.",1
113,"Of the 640 patients, those who had bacteriological findings that confirmed the etiology by S. pneumoniae were selected, resulting in 118 patients.",1
114,"The Cruzan case was very important because it was the first time that a case of this type had been discussed in the U. S. Supreme Court, which, when reviewing the case, presented three important conclusions:",1
115,"Finally, we include a dichotomous variable that indicates whether there were arrests during the protest 1=21.1% or not 0=78.9%.",1
116,"The blocks exhumed from lot 6, with an age of approximately 1640 days 4.5 years, presented a compressive strength of 12.2 MPa, showing that there was no reduction in strength with the exposure of the blocks to the environmental conditions rain, sun and little light. pedestrian flow, on the contrary, had a slight increase.",1
117,"The WHO supports observatories at the regional and country levels, the AMPPS has a clear Country Coordination and Facilitation framework that has been widely disseminated, there are Leadership Guides for the Actors Involved in HRH about to be published 9.",1
118,"Likewise, in 1968, during the presidency of Carlos Lleras Restrepo, the National Rehabilitation Council was created, which included the participation of the ACMF&R.",1
119,This corroborates the findings of Araujo e Silva 2010 who describe that researchers in the field of CG in Brazil use unorthodox measures in carrying out their work.,1
120,"An accelerated testing device, called the ATLAS Accelerated Transportation Loading Assembly, was used to load the slabs, which is 38 m long and can test 26 m long sections.",1
121,"The prevention of skin-related diseases is one of the most studied topics, since they represent a serious public health problem.",1
122,"Since it is based on a sentence that has the purpose of depriving that individual linked to the crime of liberty for life, for our interest, what is at stake is not so much the reference around the fact generated by the young person, but to the exclusion of the latter as a constant threat to order and social security.",1
123,"The characterization of the Twelfth Constitution by cultivating historians from various perspectives has not been easy, an issue that originates in the efforts made to highlight the benefits of a new political form with a liberal tendency by a large part of the deputies to the Cortes, who sought to affirm the roots of the Nation and the Constitution in some remote medieval origins of Spain that they intended to recover to adapt them to the times.",1
124,The beginning of the construction of the first plants of the Spanish nuclear park in 1963 prompted the enactment of said legislation.,1
125,"In the case of imports, the opposite happens, see graph 3.",1
126,Results,1
127,"A retrospective descriptive study was carried out in three tertiary high-tech centers in the city of Medellín-Colombia: Pablo Tobón Uribe Hospital, San Vicente de Paúl Hospital, and El Rosario Clinic, between January 2002 and June 2008.",1
128,This statistically borderline value probably reflects the small size of our sample.,1
129,"Secondly, with a fraternal thanks to these three personalities, for having helped me with their sharp observations to position and deepen crucial issues of an urgent debate for current epidemiology.",1
130,Sanitary waste constituted the third category of waste generated at the residential level in the city.,1
131,Ventricular fibrillation.,1
132,Figure 3,1
133,"There is evidence of an increase of more than 300% in the consumption of proton pump inhibitors PPIs and 6% of histamine type 2 receptor antagonists anti-H2, with a 15% reduction in the consumption of antacids, which shows the recent intensive use of PPIs for the management and treatment of acid peptic disease.",1
134,"Another study analyzed 103 Brazilian publications, consisting of 72 reports in newspapers and magazines with wide circulation and 31 articles in specialized psychiatric journals on the uses of Ritalinar, from 1998 - the year in which the drug was authorized in Brazil - until 2008.",1
135,"Gu P. et al. 2000 in an investigation that studied durability in concrete with SCM, concluded that the use of SCM considerably reduced the permeability to chloride ions compared to mixtures without SCM, which was reflected in greater protection of reinforcing steel even with low coatings.",1
136,This article presents a review of microbiological aspects oriented to cultivation and the implicit factors for it.,1
137,2. The OA does not attempt to change or eliminate copyright exploitation rights; open access uses works that are in the public domain and with the consent of the rights holder(s).,1
138,"The main pathogenic microorganism in the oral cavity that causes ECC is S. mutans, together with the accumulation of S. sobrinus, this being a more aggressive and more acidogenic species than the mutans group and lactobacilli.",1
139,We hope that your application will contribute to taking an important step to improve the quality of publications in public health and health administration.,1
140,"The Pan American Health Organization defines human resource planning as an analytical process that determines the personnel according to the needs of the patients, that is, it is having the right number and type of people in the right place and at the right time, with the necessary capabilities. to carry out actions that improve the health of the population and achieve their well-being.",1
141,"This was intended to finance new or built works and their expansion, refurbishment or rehabilitation.",1
142,"This new agent exhibits a potent inhibitory effect on measures that exceed the normal nociceptive threshold of an animal, and is capable of reducing neural mechanical, thermal, and electrical responses produced in spinal nerve ligation and sham rat models. and, unlike morphine, tapentadol retains its efficacy after neural injury.",1
143,"There is also the Hospital de Clínicas of the University of the Republic UdelaR; the Health Service of the Armed Forces and Police Health; medical services of Municipal Administrations, BPS and autonomous entities.",1
144,A 12-mm posterior port trocar and a 10-mm anterior port trocar were placed in the IV intercostal space.,1
145,"Among the recent cases that our study has addressed in the calculation of wooden structures, the Hotel Tierra Patagonia projects in the Torres del Paine National Park -by the architect Cazú Zegers- and the Casona de la Laguna Event Center -by the architect Germán del Sol - near Santiago.",1
146,Sudden discontinuation of steroids is not recommended as adrenal insufficiency may occur.,1
147,"Conclusions: The Coe Comfort conditioner presents a more regular surface and with less adhesion of Candida albicans, while the Flexacryl conditioner is the one that presents greater irregularities and adhesion of Candida albicans on its surface.",1
148,This ratifies the fact that housing is understood and appropriate as a solution to a need and not a commodity that is configured to be marketed.,1
149,"For example, they feared that she would fracture because the fragility of her body was not limited to size, it included her bones, lungs and her head, which they felt soft; this fear diminished as they felt safer touching and moving the child, they realized that they were not hurting him and the baby was gaining weight and muscle tone.",1
150,"Although in the literature, with more force every day, it is found that performing polypectomies on polyps larger than 2 cm must be done through submucosal endoscopic dissection, we consider that the technique of injecting and cutting is an alternative that requires less advanced training and resources and has shown that if executed properly, preferably cutting larger fragments rather than more smaller fragments, comparable success rates can be achieved in most cases.",1
151,Currently there are no reports in the literature on the specific use of transfusion protocols guided by thromboelastography in patients in whom this surgical technique is used.,1
152,"There are different instruments to evaluate AE in careers in the health area, both in the classroom and in clinical settings. The greatest experience in these evaluations has been carried out in Anglo-Saxon countries and in particular by Nursing and Medicine careers.",1
153,"One of them is the age of those who have a research background, since there is a majority of people aged 46 or over 71.9%, related to the generational change and the so-called ""brain drain""; This situation is the product of a highly competitive, globalized and unequal society.",1
154,"Thus, the TOF count is an excellent guide, it informs us not only of the degree of neuromuscular blockade but also of its recovery status, and of the prediction in the recovery of neuromuscular blockade balance between the activity of anticholinesterase drugs and recovery spontaneous neuromuscular blockade. Assessment of the train-of-four ratio TOFR.",1
155,"In 2013, Goralski 7 published a report of three patients: the first, a 15-year-old female patient diagnosed with CF, with pancreatic insufficiency, good nutritional status, who persisted with abdominal pain, nausea and periprandial vomiting despite use proton pump inhibitor PPI, with cholelithiasis and subsequent laparoscopic cholecystectomy, without improvement of symptoms.",1
156,"Beijing has been recognized as a ""market economy"" by different countries in the region and promoted the so-called ""strategic associations"".",1
157,"Due to this limitation that implies the increase in the order of the matrix of the stiffeners r¡ with these characteristics and therefore the increase in the general matrix of the system K, the inclusion of this effect is valued in this work, taking into consideration in a only term the effect of rotation and warping, estimating the stiffness to flexotorsion from the general and particular solution of the differential equation of fourth order of the restricted torsion [Vlasov, V 1961, Gutiérrez, P 1964, Ruiz, S; Bonilla, OR 2006; Vallecilla, 2006].",1
158,"Finally, they are usually both producers and consumers of prosumo content; .",1
159,"In fact, chronic pancreatitis with minimal changes is currently described, which is defined as pancreatic abdominal pain syndrome without structural changes or minimal changes detected in images but with histological inflammation and diagnostic fibrosis of PC 9.",1
160,"The implementation of incentives to those who, individually or collectively, make an effort to publish constantly.",1
161,No significant differences by gender or by age group in any of the series or options asked.,1
162,"In response to this process, the very concept of medicalization has ceased to occupy a peripheral place in the study of the relationship between medicine and society and is now central to this field.",1
163,"On the other hand, health effects were identified due to chronic exposure to various contaminants that were not previously identified as risky, or even that were considered beneficial, but whose effects of exposure over the years generated damage to health.",1
164,"Within the framework of the International Project on Family Quality of Life, a conceptualization for family quality of life has been developed based on its experience in the field of individual quality of life.",1
165,"On the other hand, if we break down our results according to the study program to which they belong, we find a higher concentration of students who report not perceiving the importance of interprofessional work within their study plan in the careers of Chemistry and Pharmacy and Medical Technology, while that, in careers such as Psychology, Occupational Therapy, Medicine, Speech Therapy and Dentistry, only 20% of their students declare the same.",1
166,In this system there is a global conception of the whole that implies an internal and continuous resonance between all its constituted elements.,1
167,"Table 2 shows the results of the T-student test for independent samples, which reflect the significant relationships between gender and Burnout p = .049; and sex with emotional exhaustion p = .045.",1
168,"However, in the immediate postoperative period, while recovering, he developed a hypertensive crisis.",1
169,"The value of a periodical publication is not only measured by the number of years it accumulates or by the indices in which it is registered, but also by its social impact, its contribution to knowledge, its importance in shaping a better world and, above all, his dialogue with the times.",1
170,"Thus, if one accepts the argument about the hegemony of immaterial production, then ""the ubiquity of design becomes immediately clear because design is... just a general name for the various types of production we are talking about.""",1
171,These data have served as part of the explanation of the mechanism of arterial vascular injury during puncture.,1
172,"The cultivars CP 1305, CP Compound Jalisco 1, CP Compound Jalisco 2, CP 1306, CP 1261 and CP 1205 had average values ​​around 80 to 100 units in peat-agrolite, but when cultivated in soil, the ABCPS was reduced to values about 40 units Figure 1A.",1
173,"On the other hand, the possibility that the criollos constituted a military institution independent of the Spanish authorities was minimal due to their small number and their general collaboration within the colonial institutions.",1
174,"With the results of this study we want to highlight that the method of measuring the acidity of the gastric aspirate using litmus paper, in addition to being easy to perform, has an excellent correlation with the histological findings and allows, in just one minute, to determine if the pH of the aspirate is correct. alkaline atrophy or acid does not atrophy, corroborating what has recently been published 9.",1
175,"Mainly due to this, numerous countries eliminated its use in the past decades of the 1980s and 1990s.",1
176,"For such purposes, in the present work, the method developed for extracting candidates for terms of the medical domain from the processing of linguistic information is described.",1
177,"type of discursive interactions, interventions by the teacher, tutor and students, established discursive interaction model teacher/tutor-student, student-student, number, frequency, type and content of the messages and cognitive-linguistic skills promoted.",1
178,"The nursing graduate must recognize the stages of the research process and apply them to professional work, respecting the ethical principles of scientific integrity.",1
179,"While only 40% of CHILD A patients have varices, 85% of CHILD C have esophageal varices at diagnosis 1.",1
180,"Based on the foregoing, it was only a matter of a twist that Villareal needed in his work in 1899 to quote from Regnault the measures that seemed prudent before carrying out consanguineous marriages:",1
181,"Competence for home care is defined as the capacity, ability and preparation that the family caregiver has to carry out the task of caring at home.",1
182,"Despite this being an initial and modest series of carotid endovascular therapy at the San Juan de Dios Hospital, the objective is to present the internal management protocol and determine perioperative morbidity.",1
183,"The work that is presented gives an account of these postulates in the educational practice, investigating the problems and limitations that immigrant families show to exercise a real participation in the school where their children are enrolled.",1
184,"ASA I physical status is a protective factor for perioperative complications in patients undergoing elective surgery with the general technique OR = 0.17; CI95%, 0.06-0.46; p < 0.05.",1
185,"The doctors focused their attention, rather than on the aberration that the union between brothers supposed, on the characteristics of the lineage of a family, on the affections or virtues common to a group of related individuals.",1
186,"Although at a formal level the Fun Palace –and almost all of Price's work– correspond to the crudest expression of industrial elements, this condition is nothing more than a reflection of the loss of importance of the design of the work in the face of the possibilities performative performances that the building allows.",1
187,"Allergies can also occur, mainly with 1-aminoester local anesthetics.",1
188,"Sialolipoma is a variant of a salivary gland lipoma that was first described in 2001 by Nagao; currently only 18 cases have been published in the literature, most of them in the parotid gland.",1
189,"In this journey, the nurse has been based on the study of the different behavioral, cultural and environmental factors, as well as the technical means and available resources, in order to promote a state of well-being in the patient and, consequently, achieve a better health status of the population served.",1
190,"However, it is necessary to invigorate the approaches towards research strategies that manage to consolidate these social views.",1
191,"This study has several important findings: a the pilot program achieved significant improvements in users' perception of their health status; b tele-assistance contributes to improving the quality of life, less dependence on the elderly person and provides peace of mind for them and their families; and c that it is feasible to develop social health care services at home for the elderly based on the use of technologies, since they are well accepted by the elderly, their caregivers/relatives and health professionals. Health.",1
192,"SS is the second most common autoimmune disease after rheumatoid arthritis, it is believed to affect approximately 0.5-4.8% of the general adult population, and about 5% of the population older than 55 years.",1
193,"In this way, I understand equity within the framework of a conception of justice based on respect for the difference between individuals and groups, with a diversity of needs and abilities to convert goods into a good life.",1
194,"An example is presented with the antiretrovirals used for the treatment of HIV/AIDS, which would be cost-effective in high-income societies such as Europe or North America and little cost-effective in other lower-income societies such as Africa, if the decision variable is the WTP.",1
195,"Genetic epidemiology studies have also identified polymorphisms of the G protein, a subunit of the B3 GNB3 gene, which influence the activation of immune cells 12.",1
196,"Due to issues related to the economic growth of the state —spectacular for several decades and until a few years ago—, the displacement of clandestine internment routes for undocumented immigrants to the east and the strategic geographical position of its main metropolitan pole, the Mexican drug cartels and the gangs organized around the smuggling of undocumented immigrants have made this state, and Phoniex, a destination and pivotal platform for their operations.",1
197,"The rural population with limited access to these services is greater in relation to the urban population, for example, in Charco Redondo, the small coast of Oaxaca, more than 97.6% of the population lacked this service in 2005 and in 2010, 48.72% CONEVAL, 2012.",1
198,"Habermas argues that human knowledge is constituted by virtue of three constitutive interests of knowledge: technical, practical and critical interest.",1
199,"For the completion of the questionnaire, we proceeded to go to the Hospital in the different shifts to obtain greater participation.",1
200,In this he was a typical French socialist.,1
201,Meir also believes that the concept of technology is comprehensive and goes beyond the use of machines.,1
